5011	36	48398	1	5
606	3978	985	2879	2480	3069	1542	2867	522	1496	396	2168	1414	1288	953	404	1321	1897	933	659	1976	784	1128	246	1777	1869	189	1166	519	1482	642	2124	1184	551	666	238
0	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1196	18	91	21	78	69	86	40	55	14	36	20	47	24	33	33	5	29	45	33	16	50	25	25	5	39	44	2	31	11	39	17	48	38	14	11	4
4	183	1	24	6	7	5	17	6	10	2	5	1	10	4	6	12	0	2	3	5	1	12	4	4	1	9	5	0	1	0	8	0	3	8	0	0	1
5	47	1	2	1	2	1	4	0	4	1	0	3	2	0	1	0	0	1	3	2	1	2	1	0	0	1	3	1	1	1	2	0	2	3	1	0	0
6	196	3	14	4	12	9	8	8	12	3	4	3	7	6	4	2	4	6	7	4	4	13	4	3	2	6	5	1	7	1	7	5	8	8	2	0	0
7	10	1	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
8	21	2	2	3	2	2	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	1	0
9	8	1	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
10	155	2	10	5	7	15	9	5	8	2	5	1	10	4	4	1	1	3	5	5	5	5	1	4	1	6	9	0	3	0	2	1	8	2	2	4	0
11	1179	17	101	18	56	60	72	29	70	14	42	5	54	34	28	23	16	25	38	17	14	50	20	17	8	47	53	7	41	16	48	18	56	27	9	21	8
12	62	1	9	1	8	4	0	2	2	1	1	0	0	2	1	0	0	6	2	3	1	3	1	0	0	4	1	0	0	0	2	1	3	2	0	1	0
13	13	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0
14	40	1	2	1	4	1	2	3	6	0	2	0	3	2	0	2	0	1	1	0	0	2	1	0	0	2	0	0	0	0	1	0	2	1	0	0	0
15	12	1	1	0	0	0	1	1	1	0	1	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
16	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	22	1	1	0	0	5	0	1	2	0	1	0	1	0	2	0	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
19	228	1	24	0	13	13	17	7	10	0	11	0	18	5	5	7	1	7	10	5	3	9	1	3	2	10	8	0	13	2	2	1	6	4	4	4	2
20	327	2	29	19	19	20	25	5	13	2	4	1	10	10	16	11	1	13	13	4	5	15	6	13	0	15	7	0	3	3	8	3	13	8	4	5	2
21	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	5	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	1902	32	161	25	107	93	115	66	116	21	65	17	70	54	46	46	19	71	77	50	24	67	26	48	10	84	77	6	52	18	51	22	85	33	22	23	3
24	68	1	11	0	3	7	9	1	3	0	2	2	1	2	0	0	1	1	2	1	0	6	4	0	1	1	0	0	0	0	3	1	1	3	0	1	0
25	41	1	2	0	2	1	2	1	0	0	1	0	2	0	0	0	1	1	1	1	0	2	2	0	1	3	4	0	4	1	3	2	2	0	0	0	1
26	42	2	7	0	4	0	4	2	2	2	1	0	1	0	1	1	1	0	2	1	1	1	0	1	0	0	1	0	1	2	1	0	1	1	0	1	0
27	22	1	0	1	0	0	1	1	2	1	0	0	2	0	0	0	0	0	1	2	2	0	1	0	0	3	1	0	0	0	0	0	0	2	0	0	1
28	23	1	2	0	1	0	0	1	0	3	0	0	2	5	0	0	0	0	0	2	0	1	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0
29	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	7	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
31	28	7	2	0	2	0	7	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	236	3	19	2	9	18	18	4	19	2	7	1	11	11	6	4	2	9	10	3	2	9	2	5	3	5	10	2	4	6	3	5	12	2	3	5	0
33	116	1	5	2	4	11	4	7	4	5	5	5	6	4	0	5	1	6	5	2	3	5	3	2	1	2	0	0	3	0	1	0	7	2	2	0	3
34	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	35	1	4	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	7	0	1	1	3	0	2	2	0	1	1	0	0	1	3	2	0	0
36	180	2	13	4	13	4	10	7	6	1	3	3	7	6	4	8	0	5	9	4	4	14	2	1	0	7	10	1	1	5	6	3	6	4	1	5	1
37	12	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0
38	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	9	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
41	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
43	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	99	2	10	0	3	1	5	2	5	0	3	0	6	1	3	2	1	3	2	3	1	7	4	8	0	1	4	0	2	1	7	2	4	1	2	2	1
45	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
46	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	11	1	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
50	4	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
51	16	1	0	0	2	0	0	0	0	3	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0
52	387	2	32	7	25	5	24	11	38	1	15	3	27	14	19	3	1	4	14	7	7	24	4	7	2	5	15	2	6	2	15	6	11	16	2	10	1
